0,1,2,3,4,5,6,7,8,9,10
pork,butter,napkins,seasonal products,coffee,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
pork,yogurt,margarine,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
soda,other vegetables,,,,,,,,,
meat,other vegetables,,,,,,,,,
white wine,newspapers,,,,,,,,,
sugar,flour,,,,,,,,,
root vegetables,oil,soda,,,,,,,,
newspapers,margarine,,,,,,,,,
canned beer,liquor,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
liquor,whole milk,,,,,,,,,
whole milk,frozen vegetables,soda,,,,,,,,
whole milk,hamburger meat,soft cheese,long life bakery product,margarine,bottled beer,,,,,
whole milk,soda,whipped/sour cream,dessert,,,,,,,
rolls/buns,dessert,,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
dessert,mustard,white bread,,,,,,,,
whole milk,bottled water,UHT-milk,candy,,,,,,,
chewing gum,root vegetables,frozen vegetables,,,,,,,,
ham,citrus fruit,,,,,,,,,
sugar,waffles,soda,organic products,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
pork,pastry,,,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
whole milk,turkey,pork,dog food,rolls/buns,soda,bottled water,bottled water,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
white bread,pastry,whole milk,newspapers,,,,,,,
meat,whole milk,bottled water,mayonnaise,,,,,,,
whole milk,other vegetables,,,,,,,,,
photo/film,domestic eggs,cocoa drinks,,,,,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
house keeping products,salty snack,semi-finished bread,other vegetables,whole milk,domestic eggs,chocolate marshmallow,whole milk,,,
tropical fruit,curd,brown bread,,,,,,,,
pastry,brown bread,yogurt,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
tropical fruit,beverages,,,,,,,,,
canned beer,sliced cheese,margarine,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
nut snack,butter,,,,,,,,,
pip fruit,grapes,,,,,,,,,
newspapers,soft cheese,,,,,,,,,
beef,berries,,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
beef,curd,,,,,,,,,
soft cheese,bottled water,,,,,,,,,
bottled beer,grapes,other vegetables,bottled water,,,,,,,
whole milk,rolls/buns,herbs,beverages,soda,,,,,,
frankfurter,root vegetables,,,,,,,,,
meat,condensed milk,,,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
ham,specialty chocolate,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
frankfurter,other vegetables,bottled beer,,,,,,,,
rolls/buns,pastry,,,,,,,,,
pastry,bottled water,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,hard cheese,soda,,,,,,,,
canned beer,coffee,flour,,,,,,,,
coffee,whole milk,,,,,,,,,
brown bread,pastry,,,,,,,,,
beef,ice cream,,,,,,,,,
